產品編號,品名,口味/顏色,大小,規格-數量,品牌,進貨人/廠商,規格,計量單位,標準進價,售價A,售價B,建議售價,主類別,次類別,內部類別,備註,,(廠商名稱),品名規格,,
1A0002048,雞湯塊,康寶,,,御昌商行(小蔡),康寶,盒,盒,18.75,25,25,25,調味料,調味粉,,,,御昌商行(小蔡),雞湯塊/康寶/御昌*盒,,
1A0002049,雞粉,康寶,,,御昌商行(小蔡),御昌,2.2K*6入*箱,箱,2478,2540,2540,2600,其他,康寶,,,,御昌商行(小蔡),雞粉/康寶/御昌/2.2K*6入*箱,,
1A0002050,大骨粉,康寶,,,御昌商行(小蔡),御昌1k,6罐入*箱,箱,1350,1410,1410,1450,調味料,調味粉,,,,御昌商行(小蔡),大骨粉/康寶/御昌1k/6罐入*箱,,
1A0002051,大骨粉,康寶,,,御昌商行(小蔡),御昌1k,6罐入*罐,罐,225,250,250,250,調味料,調味粉,,,,御昌商行(小蔡),大骨粉/康寶/御昌1k/6罐入*罐,,
1A0002052,辣椒粉,粗,,,御昌商行(小蔡),老媽子,御昌300g*包,包,33,0,0,40,調味料,調味粉,,,,御昌商行(小蔡),辣椒粉/粗/老媽子/御昌300g*包,,
1A0002053,辣椒粉,粗,,,御昌商行(小蔡),御昌300g,御昌300g*50包入*箱,箱,1650,0,0,0,調味料,調味粉,,,,御昌商行(小蔡),辣椒粉/粗/老媽子/御昌300g/50包入*箱,,
1A0002054,大骨粉,福果百鮮,,,御昌商行(小蔡),福果百鮮,罐,罐,199,0,0,0,調味料,調味粉,,,,御昌商行(小蔡),大骨粉/福果百鮮/御昌12罐入*罐,,
1A0002055,大骨粉,福果百鮮,,,御昌商行(小蔡),福果百鮮,箱,箱,2388,0,0,0,調味料,調味粉,,,,御昌商行(小蔡),大骨粉/福果百鮮/御昌12罐入*箱,,
1A0002056,不倒翁Q拉麵純麵條,白拉麵,,,御昌商行(小蔡),御昌,(5入*110g)*袋,袋,50,0,0,0,其他,米麵類,,,,御昌商行(小蔡),不倒翁Q拉麵純麵條/白拉麵/御昌/(5入*110g)*袋,,
1A0002057,不倒翁Q拉麵純麵條,白拉麵,,,御昌商行(小蔡),御昌,(5入*110g)*8袋入*箱,箱,400,500,500,530,其他,米麵類,,,,御昌商行(小蔡),不倒翁Q拉麵純麵條/白拉麵/御昌/(5入*110g)*8袋入*箱,,
